date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2008-11-05,sh.000300,1641.264,1714.661,1641.264,1691.42,4241821000,31500415037.0,3,0.010823000000000001,1,3.9109599999999998,,,,,0.0
2008-11-06,sh.000300,1648.127,1661.441,1638.344,1649.776,3078417900,21547045143.0,3,0.007854,1,-2.4620759999999997,,,,,0.0
2008-11-07,sh.000300,1618.753,1690.105,1612.739,1677.827,3152159000,23620464927.0,3,0.008043000000000002,1,1.700293,,,,,0.0
2008-11-10,sh.000300,1714.123,1803.119,1714.123,1801.665,6394885900,47322292085.0,3,0.016316,1,7.380857000000001,,,,,0.0
2008-11-11,sh.000300,1795.301,1824.929,1778.332,1781.361,6607285100,49194274324.0,3,0.016858,1,-1.126962,,,,,0.0
2008-11-12,sh.000300,1758.479,1806.23,1754.288,1801.823,4408796000,34453792525.0,3,0.011249,1,1.148674,,,,,0.0
2008-11-13,sh.000300,1777.031,1891.942,1765.635,1874.082,8323455200,64988756213.0,3,0.021237,1,4.0103290000000005,,,,,0.0
2008-11-14,sh.000300,1893.309,1943.654,1874.932,1943.654,9116871700,73429585039.0,3,0.023241,1,3.712325,,,,,0.0
2008-11-17,sh.000300,1934.737,1987.225,1919.967,1987.225,8783662600,70919184237.0,3,0.022358000000000003,1,2.241702,,,,,0.0
2008-11-18,sh.000300,1974.378,1994.82,1831.757,1839.819,9727835300,76165748641.0,3,0.024758000000000002,1,-7.417681,,,,,0.0
2008-11-19,sh.000300,1831.597,1959.522,1823.273,1953.163,8211740800,64838117216.0,3,0.020899,1,6.160606,,,,,0.0
2008-11-20,sh.000300,1916.7,1976.95,1900.268,1932.428,8318703800,66919038879.0,3,0.021165,1,-1.061611,,,,,0.0
2008-11-21,sh.000300,1872.265,1968.892,1835.086,1920.735,8304932900,66124274844.0,3,0.021061,1,-0.605093,,,,,0.0
2008-11-24,sh.000300,1913.993,1923.933,1835.863,1837.642,5056151700,39794620401.0,3,0.012811000000000001,1,-4.326105,,,,,0.0
2008-11-25,sh.000300,1870.055,1883.104,1801.56,1834.294,4281459000,34629652337.0,3,0.010848,1,-0.18219100000000002,,,,,0.0
